departamento,departamento_iso,anio,numero_semana,fecha_inicio_semana,fecha_fin_semana,cantidad_detecciones,superficie_km2,detecciones_por_1000_km2
Artigas,UY-AR,2018,9,2018-02-26,2018-03-04,0,12010.600679730765,0.0
Canelones,UY-CA,2018,9,2018-02-26,2018-03-04,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2018,9,2018-02-26,2018-03-04,0,13655.557447815512,0.0
Colonia,UY-CO,2018,9,2018-02-26,2018-03-04,0,6112.026851866528,0.0
Durazno,UY-DU,2018,9,2018-02-26,2018-03-04,2,12228.10425056514,0.16355765039438286
Flores,UY-FS,2018,9,2018-02-26,2018-03-04,0,5140.77049712524,0.0
Florida,UY-FD,2018,9,2018-02-26,2018-03-04,0,10405.572253242583,0.0
Lavalleja,UY-LA,2018,9,2018-02-26,2018-03-04,0,10031.272844140674,0.0
Maldonado,UY-MA,2018,9,2018-02-26,2018-03-04,0,4803.260185508939,0.0
Montevideo,UY-MO,2018,9,2018-02-26,2018-03-04,0,527.7536386520376,0.0
Paysandú,UY-PA,2018,9,2018-02-26,2018-03-04,0,14088.526169172621,0.0
Rivera,UY-RV,2018,9,2018-02-26,2018-03-04,6,9329.550532265199,0.6431177985745055
Rocha,UY-RO,2018,9,2018-02-26,2018-03-04,0,10558.553826772255,0.0
Río Negro,UY-RN,2018,9,2018-02-26,2018-03-04,0,9810.67596839813,0.0
Salto,UY-SA,2018,9,2018-02-26,2018-03-04,0,14170.87435119916,0.0
San José,UY-SJ,2018,9,2018-02-26,2018-03-04,0,5002.920653176918,0.0
Soriano,UY-SO,2018,9,2018-02-26,2018-03-04,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2018,9,2018-02-26,2018-03-04,0,15973.367767510354,0.0
Treinta y Tres,UY-TT,2018,9,2018-02-26,2018-03-04,1,9285.005878360264,0.10770052416774566
Artigas,UY-AR,2018,10,2018-03-05,2018-03-11,4,12010.600679730765,0.3330391299038397
Canelones,UY-CA,2018,10,2018-03-05,2018-03-11,1,4520.87871068126,0.22119593645309454
Cerro Largo,UY-CL,2018,10,2018-03-05,2018-03-11,8,13655.557447815512,0.5858420669073282
Colonia,UY-CO,2018,10,2018-03-05,2018-03-11,1,6112.026851866528,0.16361184664864717
Durazno,UY-DU,2018,10,2018-03-05,2018-03-11,3,12228.10425056514,0.2453364755915743
Flores,UY-FS,2018,10,2018-03-05,2018-03-11,0,5140.77049712524,0.0
Florida,UY-FD,2018,10,2018-03-05,2018-03-11,0,10405.572253242583,0.0
Lavalleja,UY-LA,2018,10,2018-03-05,2018-03-11,8,10031.272844140674,0.7975059720036273
Maldonado,UY-MA,2018,10,2018-03-05,2018-03-11,0,4803.260185508939,0.0
Montevideo,UY-MO,2018,10,2018-03-05,2018-03-11,1,527.7536386520376,1.8948235061991252
Paysandú,UY-PA,2018,10,2018-03-05,2018-03-11,1,14088.526169172621,0.0709797453610243
Rivera,UY-RV,2018,10,2018-03-05,2018-03-11,6,9329.550532265199,0.6431177985745055
Rocha,UY-RO,2018,10,2018-03-05,2018-03-11,8,10558.553826772255,0.7576795204391732
Río Negro,UY-RN,2018,10,2018-03-05,2018-03-11,0,9810.67596839813,0.0
Salto,UY-SA,2018,10,2018-03-05,2018-03-11,0,14170.87435119916,0.0
San José,UY-SJ,2018,10,2018-03-05,2018-03-11,0,5002.920653176918,0.0
Soriano,UY-SO,2018,10,2018-03-05,2018-03-11,1,9122.538742945157,0.10961860817235138
Tacuarembó,UY-TA,2018,10,2018-03-05,2018-03-11,1,15973.367767510354,0.06260420560991455
Treinta y Tres,UY-TT,2018,10,2018-03-05,2018-03-11,0,9285.005878360264,0.0
Artigas,UY-AR,2018,11,2018-03-12,2018-03-18,0,12010.600679730765,0.0
Canelones,UY-CA,2018,11,2018-03-12,2018-03-18,2,4520.87871068126,0.4423918729061891
Cerro Largo,UY-CL,2018,11,2018-03-12,2018-03-18,0,13655.557447815512,0.0
Colonia,UY-CO,2018,11,2018-03-12,2018-03-18,3,6112.026851866528,0.4908355399459415
Durazno,UY-DU,2018,11,2018-03-12,2018-03-18,3,12228.10425056514,0.2453364755915743
Flores,UY-FS,2018,11,2018-03-12,2018-03-18,0,5140.77049712524,0.0
Florida,UY-FD,2018,11,2018-03-12,2018-03-18,0,10405.572253242583,0.0
Lavalleja,UY-LA,2018,11,2018-03-12,2018-03-18,0,10031.272844140674,0.0
Maldonado,UY-MA,2018,11,2018-03-12,2018-03-18,0,4803.260185508939,0.0
Montevideo,UY-MO,2018,11,2018-03-12,2018-03-18,1,527.7536386520376,1.8948235061991252
Paysandú,UY-PA,2018,11,2018-03-12,2018-03-18,0,14088.526169172621,0.0
Rivera,UY-RV,2018,11,2018-03-12,2018-03-18,0,9329.550532265199,0.0
Rocha,UY-RO,2018,11,2018-03-12,2018-03-18,6,10558.553826772255,0.56825964032938
Río Negro,UY-RN,2018,11,2018-03-12,2018-03-18,1,9810.67596839813,0.10192977560579633
Salto,UY-SA,2018,11,2018-03-12,2018-03-18,0,14170.87435119916,0.0
San José,UY-SJ,2018,11,2018-03-12,2018-03-18,0,5002.920653176918,0.0
Soriano,UY-SO,2018,11,2018-03-12,2018-03-18,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2018,11,2018-03-12,2018-03-18,0,15973.367767510354,0.0
Treinta y Tres,UY-TT,2018,11,2018-03-12,2018-03-18,8,9285.005878360264,0.8616041933419653
Artigas,UY-AR,2018,12,2018-03-19,2018-03-25,0,12010.600679730765,0.0
Canelones,UY-CA,2018,12,2018-03-19,2018-03-25,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2018,12,2018-03-19,2018-03-25,1,13655.557447815512,0.07323025836341603
Colonia,UY-CO,2018,12,2018-03-19,2018-03-25,3,6112.026851866528,0.4908355399459415
Durazno,UY-DU,2018,12,2018-03-19,2018-03-25,0,12228.10425056514,0.0
Flores,UY-FS,2018,12,2018-03-19,2018-03-25,0,5140.77049712524,0.0
Florida,UY-FD,2018,12,2018-03-19,2018-03-25,0,10405.572253242583,0.0
Lavalleja,UY-LA,2018,12,2018-03-19,2018-03-25,3,10031.272844140674,0.29906473950136025
Maldonado,UY-MA,2018,12,2018-03-19,2018-03-25,0,4803.260185508939,0.0
Montevideo,UY-MO,2018,12,2018-03-19,2018-03-25,0,527.7536386520376,0.0
Paysandú,UY-PA,2018,12,2018-03-19,2018-03-25,0,14088.526169172621,0.0
Rivera,UY-RV,2018,12,2018-03-19,2018-03-25,0,9329.550532265199,0.0
Rocha,UY-RO,2018,12,2018-03-19,2018-03-25,2,10558.553826772255,0.1894198801097933
Río Negro,UY-RN,2018,12,2018-03-19,2018-03-25,1,9810.67596839813,0.10192977560579633
Salto,UY-SA,2018,12,2018-03-19,2018-03-25,0,14170.87435119916,0.0
San José,UY-SJ,2018,12,2018-03-19,2018-03-25,2,5002.920653176918,0.39976648414960864
Soriano,UY-SO,2018,12,2018-03-19,2018-03-25,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2018,12,2018-03-19,2018-03-25,3,15973.367767510354,0.18781261682974365
Treinta y Tres,UY-TT,2018,12,2018-03-19,2018-03-25,3,9285.005878360264,0.32310157250323696
Artigas,UY-AR,2018,13,2018-03-26,2018-04-01,0,12010.600679730765,0.0
Canelones,UY-CA,2018,13,2018-03-26,2018-04-01,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2018,13,2018-03-26,2018-04-01,0,13655.557447815512,0.0
Colonia,UY-CO,2018,13,2018-03-26,2018-04-01,0,6112.026851866528,0.0
Durazno,UY-DU,2018,13,2018-03-26,2018-04-01,0,12228.10425056514,0.0
Flores,UY-FS,2018,13,2018-03-26,2018-04-01,0,5140.77049712524,0.0
Florida,UY-FD,2018,13,2018-03-26,2018-04-01,0,10405.572253242583,0.0
Lavalleja,UY-LA,2018,13,2018-03-26,2018-04-01,0,10031.272844140674,0.0
Maldonado,UY-MA,2018,13,2018-03-26,2018-04-01,0,4803.260185508939,0.0
Montevideo,UY-MO,2018,13,2018-03-26,2018-04-01,0,527.7536386520376,0.0
Paysandú,UY-PA,2018,13,2018-03-26,2018-04-01,0,14088.526169172621,0.0
Rivera,UY-RV,2018,13,2018-03-26,2018-04-01,0,9329.550532265199,0.0
Rocha,UY-RO,2018,13,2018-03-26,2018-04-01,0,10558.553826772255,0.0
Río Negro,UY-RN,2018,13,2018-03-26,2018-04-01,0,9810.67596839813,0.0
Salto,UY-SA,2018,13,2018-03-26,2018-04-01,0,14170.87435119916,0.0
San José,UY-SJ,2018,13,2018-03-26,2018-04-01,0,5002.920653176918,0.0
Soriano,UY-SO,2018,13,2018-03-26,2018-04-01,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2018,13,2018-03-26,2018-04-01,0,15973.367767510354,0.0
Treinta y Tres,UY-TT,2018,13,2018-03-26,2018-04-01,0,9285.005878360264,0.0
Artigas,UY-AR,2018,14,2018-04-02,2018-04-08,0,12010.600679730765,0.0
Canelones,UY-CA,2018,14,2018-04-02,2018-04-08,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2018,14,2018-04-02,2018-04-08,0,13655.557447815512,0.0
Colonia,UY-CO,2018,14,2018-04-02,2018-04-08,1,6112.026851866528,0.16361184664864717
Durazno,UY-DU,2018,14,2018-04-02,2018-04-08,0,12228.10425056514,0.0
Flores,UY-FS,2018,14,2018-04-02,2018-04-08,0,5140.77049712524,0.0
Florida,UY-FD,2018,14,2018-04-02,2018-04-08,0,10405.572253242583,0.0
Lavalleja,UY-LA,2018,14,2018-04-02,2018-04-08,0,10031.272844140674,0.0
Maldonado,UY-MA,2018,14,2018-04-02,2018-04-08,0,4803.260185508939,0.0
Montevideo,UY-MO,2018,14,2018-04-02,2018-04-08,0,527.7536386520376,0.0
Paysandú,UY-PA,2018,14,2018-04-02,2018-04-08,0,14088.526169172621,0.0
Rivera,UY-RV,2018,14,2018-04-02,2018-04-08,1,9329.550532265199,0.10718629976241757
Rocha,UY-RO,2018,14,2018-04-02,2018-04-08,0,10558.553826772255,0.0
Río Negro,UY-RN,2018,14,2018-04-02,2018-04-08,0,9810.67596839813,0.0
Salto,UY-SA,2018,14,2018-04-02,2018-04-08,0,14170.87435119916,0.0
San José,UY-SJ,2018,14,2018-04-02,2018-04-08,0,5002.920653176918,0.0
Soriano,UY-SO,2018,14,2018-04-02,2018-04-08,1,9122.538742945157,0.10961860817235138
Tacuarembó,UY-TA,2018,14,2018-04-02,2018-04-08,1,15973.367767510354,0.06260420560991455
Treinta y Tres,UY-TT,2018,14,2018-04-02,2018-04-08,0,9285.005878360264,0.0
Artigas,UY-AR,2018,15,2018-04-09,2018-04-15,2,12010.600679730765,0.16651956495191986
Canelones,UY-CA,2018,15,2018-04-09,2018-04-15,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2018,15,2018-04-09,2018-04-15,0,13655.557447815512,0.0
Colonia,UY-CO,2018,15,2018-04-09,2018-04-15,0,6112.026851866528,0.0
Durazno,UY-DU,2018,15,2018-04-09,2018-04-15,3,12228.10425056514,0.2453364755915743
Flores,UY-FS,2018,15,2018-04-09,2018-04-15,0,5140.77049712524,0.0
Florida,UY-FD,2018,15,2018-04-09,2018-04-15,0,10405.572253242583,0.0
Lavalleja,UY-LA,2018,15,2018-04-09,2018-04-15,1,10031.272844140674,0.09968824650045341
Maldonado,UY-MA,2018,15,2018-04-09,2018-04-15,0,4803.260185508939,0.0
Montevideo,UY-MO,2018,15,2018-04-09,2018-04-15,0,527.7536386520376,0.0
Paysandú,UY-PA,2018,15,2018-04-09,2018-04-15,0,14088.526169172621,0.0
Rivera,UY-RV,2018,15,2018-04-09,2018-04-15,0,9329.550532265199,0.0
Rocha,UY-RO,2018,15,2018-04-09,2018-04-15,3,10558.553826772255,0.28412982016469
Río Negro,UY-RN,2018,15,2018-04-09,2018-04-15,0,9810.67596839813,0.0
Salto,UY-SA,2018,15,2018-04-09,2018-04-15,0,14170.87435119916,0.0
San José,UY-SJ,2018,15,2018-04-09,2018-04-15,2,5002.920653176918,0.39976648414960864
Soriano,UY-SO,2018,15,2018-04-09,2018-04-15,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2018,15,2018-04-09,2018-04-15,5,15973.367767510354,0.31302102804957277
Treinta y Tres,UY-TT,2018,15,2018-04-09,2018-04-15,5,9285.005878360264,0.5385026208387282
Artigas,UY-AR,2018,16,2018-04-16,2018-04-22,2,12010.600679730765,0.16651956495191986
Canelones,UY-CA,2018,16,2018-04-16,2018-04-22,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2018,16,2018-04-16,2018-04-22,0,13655.557447815512,0.0
Colonia,UY-CO,2018,16,2018-04-16,2018-04-22,0,6112.026851866528,0.0
Durazno,UY-DU,2018,16,2018-04-16,2018-04-22,4,12228.10425056514,0.3271153007887657
Flores,UY-FS,2018,16,2018-04-16,2018-04-22,0,5140.77049712524,0.0
Florida,UY-FD,2018,16,2018-04-16,2018-04-22,0,10405.572253242583,0.0
Lavalleja,UY-LA,2018,16,2018-04-16,2018-04-22,1,10031.272844140674,0.09968824650045341
Maldonado,UY-MA,2018,16,2018-04-16,2018-04-22,0,4803.260185508939,0.0
