coordenada_id,departamento,departamento_iso,latitud,longitud,easting_m,northing_m,distancia_limite_m,metodo_seleccion,margen_interior_m,crs_generacion,separacion_grilla_m,fuente_limite
URY_PA_G_E450000_N6475000,Paysandú,UY-PA,-31.859642,-57.528544000000004,450000.0,6475000.0,23831.740645103568,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E475000_N6425000,Paysandú,UY-PA,-32.31154600000001,-57.26557700000001,475000.0,6425000.0,9813.954197290836,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E475000_N6450000,Paysandú,UY-PA,-32.086009999999995,-57.264923,475000.0,6450000.0,32681.320603037268,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E475000_N6475000,Paysandú,UY-PA,-31.860466000000002,-57.264275,475000.0,6475000.0,11886.507455623769,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E500000_N6450000,Paysandú,UY-PA,-32.086287,-57.00000000000001,500000.0,6450000.0,28610.265521202826,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E500000_N6475000,Paysandú,UY-PA,-31.860741,-57.00000000000001,500000.0,6475000.0,7804.996236203186,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E525000_N6425000,Paysandú,UY-PA,-32.31154600000001,-56.73442300000001,525000.0,6425000.0,8961.236893173691,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E525000_N6450000,Paysandú,UY-PA,-32.086009999999995,-56.735077000000004,525000.0,6450000.0,28708.55507944817,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E550000_N6450000,Paysandú,UY-PA,-32.08517899999999,-56.470162,550000.0,6450000.0,14904.663643913593,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RN_G_E425000_N6375000,Río Negro,UY-RN,-32.760319,-57.800692999999995,425000.0,6375000.0,18343.733019215124,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RN_G_E450000_N6375000,Río Negro,UY-RN,-32.76174000000002,-57.533808,450000.0,6375000.0,26210.79357152691,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RN_G_E475000_N6350000,Río Negro,UY-RN,-32.988105,-57.267584,475000.0,6350000.0,9022.783965379422,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RN_G_E475000_N6375000,Río Negro,UY-RN,-32.762592999999995,-57.266908,475000.0,6375000.0,29500.547788369055,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RN_G_E475000_N6400000,Río Negro,UY-RN,-32.537073,-57.266239,475000.0,6400000.0,10281.970510053688,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RN_G_E500000_N6375000,Río Negro,UY-RN,-32.76287700000001,-57.00000000000001,500000.0,6375000.0,19806.346280353548,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RN_G_E500000_N6400000,Río Negro,UY-RN,-32.537354999999984,-57.00000000000001,500000.0,6400000.0,18335.3805901622,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RN_G_E525000_N6400000,Río Negro,UY-RN,-32.537073,-56.733761,525000.0,6400000.0,13463.254967193201,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RO_G_E750000_N6175000,Rocha,UY-RO,-34.536361,-54.275971,750000.0,6175000.0,14931.83278382622,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RO_G_E750000_N6200000,Rocha,UY-RO,-34.311158999999996,-54.283271000000006,750000.0,6200000.0,18514.209452180057,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RO_G_E750000_N6225000,Rocha,UY-RO,-34.085947,-54.29049,750000.0,6225000.0,16019.65775639609,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RO_G_E750000_N6250000,Rocha,UY-RO,-33.860725,-54.29763,750000.0,6250000.0,12256.42983454769,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RO_G_E775000_N6200000,Rocha,UY-RO,-34.304835,-54.011908,775000.0,6200000.0,19024.037918427508,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RO_G_E775000_N6225000,Rocha,UY-RO,-34.079676,-54.019846,775000.0,6225000.0,30588.969837175522,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RO_G_E775000_N6250000,Rocha,UY-RO,-33.85450699999999,-54.02769700000001,775000.0,6250000.0,34685.99144966258,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RO_G_E775000_N6275000,Rocha,UY-RO,-33.62932799999999,-54.03546,775000.0,6275000.0,19120.398955874858,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_RO_G_E800000_N6225000,Rocha,UY-RO,-34.07281,-53.74929,800000.0,6225000.0,11740.680908078171,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
