coordenada_id,departamento,departamento_iso,metodo_seleccion,crs_generacion,separacion_grilla_m,easting_m,northing_m,fuente_limite,latitud,longitud
URY_DU_G_E650000_N6325000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,650000.0,6325000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.20349,-55.390657
URY_DU_G_E650000_N6350000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,650000.0,6350000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.978073,-55.39476
URY_DU_G_E650000_N6375000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,650000.0,6375000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.752647,-55.398817
URY_DU_G_E650000_N6400000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,650000.0,6400000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.527212,-55.402829
URY_FD_G_E550000_N6275000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,550000.0,6275000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.663708,-56.460688
URY_FD_G_E575000_N6200000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,575000.0,6200000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.338588,-56.184614
URY_FD_G_E575000_N6225000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,575000.0,6225000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.113146,-56.186784
URY_FD_G_E575000_N6250000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,575000.0,6250000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.887696,-56.188929
URY_FD_G_E575000_N6275000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,575000.0,6275000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.662237,-56.191051
URY_FD_G_E600000_N6225000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,600000.0,6225000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.111052,-55.915749
URY_FD_G_E600000_N6250000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,600000.0,6250000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.88562,-55.918609
URY_FD_G_E600000_N6275000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,600000.0,6275000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.660178,-55.921438
URY_FD_G_E600000_N6300000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,600000.0,6300000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.434729,-55.924236
URY_FD_G_E625000_N6225000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,625000.0,6225000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.108361,-55.644746
URY_FD_G_E625000_N6250000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,625000.0,6250000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.882951,-55.648321
URY_FD_G_E625000_N6275000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,625000.0,6275000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.657532,-55.651857
URY_FD_G_E625000_N6300000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,625000.0,6300000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.432105,-55.655353
URY_FD_G_E650000_N6250000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,650000.0,6250000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.879689,-55.378072
URY_FD_G_E650000_N6275000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,650000.0,6275000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.654298,-55.382314
URY_FD_G_E650000_N6300000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,650000.0,6300000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.428898,-55.386509
URY_FD_G_E675000_N6325000,Florida,UY-FD,regular_grid_25km,EPSG:32721,25000,675000.0,6325000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.199733,-55.12255
URY_FS_G_E475000_N6300000,Flores,UY-FS,regular_grid_25km,EPSG:32721,25000,475000.0,6300000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.439103,-57.26896
URY_FS_G_E500000_N6250000,Flores,UY-FS,regular_grid_25km,EPSG:32721,25000,500000.0,6250000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.890365,-57.0
URY_FS_G_E500000_N6275000,Flores,UY-FS,regular_grid_25km,EPSG:32721,25000,500000.0,6275000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.664884,-57.0
URY_FS_G_E500000_N6300000,Flores,UY-FS,regular_grid_25km,EPSG:32721,25000,500000.0,6300000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.439395,-57.0
URY_FS_G_E500000_N6325000,Flores,UY-FS,regular_grid_25km,EPSG:32721,25000,500000.0,6325000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.213897,-57.0
URY_FS_G_E525000_N6250000,Flores,UY-FS,regular_grid_25km,EPSG:32721,25000,525000.0,6250000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.890069,-56.729633
URY_FS_G_E525000_N6275000,Flores,UY-FS,regular_grid_25km,EPSG:32721,25000,525000.0,6275000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.66459,-56.73034
