coordenada_id,departamento,latitud_reportada,longitud_reportada,pares_modelo_distintos,latitud_modelo,longitud_modelo,coincide_auditoria_previa
URY_SA_G_E475000_N6500000,Salto,-31.599998,-57.299995,1,-31.599998,-57.299995,True
URY_SA_G_E475000_N6525000,Salto,-31.399998,-57.299995,1,-31.399998,-57.299995,True
URY_SA_G_E475000_N6550000,Salto,-31.2,-57.299995,1,-31.2,-57.299995,True
URY_SA_G_E500000_N6500000,Salto,-31.599998,-57.0,1,-31.599998,-57.0,True
URY_SA_G_E500000_N6525000,Salto,-31.399998,-57.0,1,-31.399998,-57.0,True
URY_SA_G_E500000_N6550000,Salto,-31.2,-57.0,1,-31.2,-57.0,True
URY_SA_G_E525000_N6500000,Salto,-31.599998,-56.699997,1,-31.599998,-56.699997,True
URY_SA_G_E525000_N6525000,Salto,-31.399998,-56.699997,1,-31.399998,-56.699997,True
URY_SA_G_E525000_N6550000,Salto,-31.2,-56.699997,1,-31.2,-56.699997,True
URY_SA_G_E550000_N6500000,Salto,-31.599998,-56.5,1,-31.599998,-56.5,True
URY_SA_G_E550000_N6525000,Salto,-31.399998,-56.5,1,-31.399998,-56.5,True
URY_SA_G_E550000_N6550000,Salto,-31.2,-56.5,1,-31.2,-56.5,True
URY_SJ_G_E500000_N6200000,San José,-34.3,-57.0,1,-34.3,-57.0,True
URY_SJ_G_E525000_N6175000,San José,-34.6,-56.699997,1,-34.6,-56.699997,True
URY_SJ_G_E525000_N6200000,San José,-34.3,-56.699997,1,-34.3,-56.699997,True
URY_SJ_G_E525000_N6225000,San José,-34.1,-56.699997,1,-34.1,-56.699997,True
URY_SO_G_E375000_N6275000,Soriano,-33.7,-58.299995,1,-33.7,-58.299995,True
URY_SO_G_E400000_N6275000,Soriano,-33.7,-58.1,1,-33.7,-58.1,True
URY_SO_G_E400000_N6300000,Soriano,-33.399998,-58.1,1,-33.399998,-58.1,True
URY_SO_G_E425000_N6275000,Soriano,-33.7,-57.799995,1,-33.7,-57.799995,True
URY_SO_G_E425000_N6300000,Soriano,-33.399998,-57.799995,1,-33.399998,-57.799995,True
URY_SO_G_E425000_N6325000,Soriano,-33.2,-57.799995,1,-33.2,-57.799995,True
URY_SO_G_E450000_N6275000,Soriano,-33.7,-57.5,1,-33.7,-57.5,True
URY_SO_G_E450000_N6300000,Soriano,-33.399998,-57.5,1,-33.399998,-57.5,True
URY_SO_G_E450000_N6325000,Soriano,-33.2,-57.5,1,-33.2,-57.5,True
URY_SO_G_E475000_N6275000,Soriano,-33.7,-57.299995,1,-33.7,-57.299995,True
URY_TA_G_E550000_N6400000,Tacuarembó,-32.5,-56.5,1,-32.5,-56.5,True
URY_TA_G_E575000_N6400000,Tacuarembó,-32.5,-56.199997,1,-32.5,-56.199997,True
URY_TA_G_E575000_N6425000,Tacuarembó,-32.3,-56.199997,1,-32.3,-56.199997,True
URY_TA_G_E575000_N6450000,Tacuarembó,-32.1,-56.199997,1,-32.1,-56.199997,True
URY_TA_G_E575000_N6500000,Tacuarembó,-31.599998,-56.199997,1,-31.599998,-56.199997,True
URY_TA_G_E600000_N6400000,Tacuarembó,-32.5,-55.9,1,-32.5,-55.9,True
URY_TA_G_E600000_N6425000,Tacuarembó,-32.3,-55.9,1,-32.3,-55.9,True
URY_TA_G_E600000_N6450000,Tacuarembó,-32.1,-55.9,1,-32.1,-55.9,True
URY_TA_G_E600000_N6475000,Tacuarembó,-31.899998,-55.9,1,-31.899998,-55.9,True
URY_TA_G_E600000_N6500000,Tacuarembó,-31.599998,-55.9,1,-31.599998,-55.9,True
URY_TA_G_E625000_N6425000,Tacuarembó,-32.3,-55.699997,1,-32.3,-55.699997,True
URY_TA_G_E625000_N6450000,Tacuarembó,-32.1,-55.699997,1,-32.1,-55.699997,True
URY_TA_G_E625000_N6475000,Tacuarembó,-31.899998,-55.699997,1,-31.899998,-55.699997,True
URY_TA_G_E650000_N6425000,Tacuarembó,-32.3,-55.4,1,-32.3,-55.4,True
URY_TA_G_E650000_N6450000,Tacuarembó,-32.1,-55.4,1,-32.1,-55.4,True
URY_TA_G_E650000_N6475000,Tacuarembó,-31.899998,-55.4,1,-31.899998,-55.4,True
URY_TA_G_E675000_N6425000,Tacuarembó,-32.3,-55.1,1,-32.3,-55.1,True
URY_TA_G_E675000_N6450000,Tacuarembó,-32.1,-55.1,1,-32.1,-55.1,True
URY_TA_G_E700000_N6450000,Tacuarembó,-32.1,-54.9,1,-32.1,-54.9,True
URY_TT_G_E700000_N6325000,Treinta y Tres,-33.2,-54.9,1,-33.2,-54.9,True
URY_TT_G_E700000_N6350000,Treinta y Tres,-33.0,-54.9,1,-33.0,-54.9,True
URY_TT_G_E725000_N6325000,Treinta y Tres,-33.2,-54.6,1,-33.2,-54.6,True
URY_TT_G_E725000_N6350000,Treinta y Tres,-33.0,-54.6,1,-33.0,-54.6,True
URY_TT_G_E750000_N6325000,Treinta y Tres,-33.2,-54.299995,1,-33.2,-54.299995,True
URY_TT_G_E750000_N6350000,Treinta y Tres,-33.0,-54.299995,1,-33.0,-54.299995,True
URY_TT_G_E775000_N6325000,Treinta y Tres,-33.2,-54.1,1,-33.2,-54.1,True
URY_TT_G_E775000_N6350000,Treinta y Tres,-33.0,-54.1,1,-33.0,-54.1,True
URY_TT_G_E800000_N6350000,Treinta y Tres,-32.899998,-53.799995,1,-32.899998,-53.799995,True
