departamento,departamento_iso,fecha_inicio_semana,fecha_fin_semana,anio,numero_semana,n_dias_esperados,n_dias_observados,cobertura_temporal_pct,cobertura_espacial_min_pct,precipitation_days_weekly,temperature_2m_max_mean_weekly,temperature_2m_max_weekly,temperature_2m_min_mean_weekly,temperature_2m_min_weekly,relative_humidity_2m_min_mean_weekly,relative_humidity_2m_min_weekly,relative_humidity_2m_max_mean_weekly,relative_humidity_2m_max_weekly,wind_speed_10m_max_mean_weekly,wind_speed_10m_max_weekly,precipitation_sum_weekly,precipitation_max_daily_weekly,et0_fao_evapotranspiration_sum_weekly,et0_fao_evapotranspiration_max_daily_weekly,wind_direction_10m_resultant_length_spatial_daily_mean_weekly,wind_direction_10m_dominant_circular_mean_weekly,wind_direction_10m_resultant_length_weekly
Durazno,UY-DU,2017-12-25,2017-12-31,2017,52,7,7,100.0,100.0,2,31.90952380952381,34.9,19.542857142857144,13.8,33.79761904761905,23,83.67857142857143,94,4.678214285714286,7.31,13.783333333333331,13.683333333333332,47.2275,7.51,0.9907128846851465,69.83725894437579,0.6411975772549958
Flores,UY-FS,2017-01-02,2017-01-08,2017,1,7,7,100.0,100.0,3,28.108571428571427,30.5,18.937142857142856,13.1,55.0,34,93.17142857142858,100,5.694857142857143,9.98,90.4,55.82000000000001,34.062,6.79,0.9967543982103514,54.762824574680344,0.40327618140943344
Flores,UY-FS,2017-01-09,2017-01-15,2017,2,7,7,100.0,100.0,4,28.565714285714286,30.9,17.742857142857144,14.0,49.771428571428565,36,89.6,100,5.638571428571429,7.63,20.96,10.360000000000001,39.96,6.77,0.9948444081194426,40.03862106739579,0.3324917601563018
Flores,UY-FS,2017-01-16,2017-01-22,2017,3,7,7,100.0,100.0,3,29.085714285714285,31.0,19.39428571428571,16.9,51.65714285714286,42,91.14285714285714,97,5.150857142857142,7.45,22.46,20.78,38.339999999999996,6.66,0.9966872526265316,69.47688949771974,0.650843115154044
Flores,UY-FS,2017-01-23,2017-01-29,2017,4,7,7,100.0,100.0,3,26.557142857142857,31.2,16.294285714285714,11.4,46.08571428571429,38,86.62857142857142,95,4.8188571428571425,7.83,1.2,0.8,38.519999999999996,6.93,0.9924744426772649,119.62693340713864,0.07056410841236115
Flores,UY-FS,2017-01-30,2017-02-05,2017,5,7,7,100.0,100.0,6,28.082857142857144,32.4,19.96,16.5,56.199999999999996,44,94.82857142857142,100,6.398000000000001,15.04,44.9,17.16,31.904,6.52,0.9973876245826112,33.897374446536624,0.2690385695306762
Flores,UY-FS,2017-02-06,2017-02-12,2017,6,7,7,100.0,100.0,4,25.497142857142858,29.0,17.145714285714284,11.3,57.4,44,89.28571428571429,99,5.436285714285715,7.92,27.18,12.239999999999998,29.124,5.73,0.9970936983954148,121.6191575772268,0.6480719576396169
Flores,UY-FS,2017-02-13,2017-02-19,2017,7,7,7,100.0,100.0,6,27.62,30.0,19.602857142857143,17.0,63.82857142857143,52,97.05714285714285,100,4.189142857142857,6.0,86.17999999999999,45.36,26.055999999999997,5.38,0.9764020013295684,325.5495310408765,0.5275965642276672
Flores,UY-FS,2017-02-20,2017-02-26,2017,8,7,7,100.0,100.0,5,30.82,31.7,21.622857142857146,20.6,58.114285714285714,50,96.54285714285713,100,3.1302857142857143,4.67,10.1,6.34,32.534,5.37,0.9860403797577539,343.27351538700117,0.22276564933924514
Flores,UY-FS,2017-02-27,2017-03-05,2017,9,7,7,100.0,100.0,5,28.602857142857143,32.0,19.86285714285714,14.1,51.68571428571429,40,89.48571428571428,99,4.672857142857143,7.5,4.279999999999999,3.78,32.634,5.37,0.9977537837855135,40.52542890208068,0.20670037534050167
Flores,UY-FS,2017-03-06,2017-03-12,2017,10,7,7,100.0,100.0,3,25.13714285714286,29.4,15.842857142857143,10.9,47.48571428571428,35,88.39999999999999,98,5.430857142857143,7.44,50.06,49.06,29.462,5.3,0.9857820977187112,35.124377218958074,0.17987528645986467
Flores,UY-FS,2017-03-13,2017-03-19,2017,11,7,7,100.0,100.0,2,22.222857142857144,26.6,11.877142857142857,8.4,51.6,41,90.62857142857142,96,4.327714285714285,8.42,14.839999999999998,14.719999999999999,25.692,4.68,0.9972732015857979,79.70043242917076,0.1739152427251972
Flores,UY-FS,2017-03-20,2017-03-26,2017,12,7,7,100.0,100.0,4,25.034285714285716,26.0,16.15714285714286,11.7,60.457142857142856,48,94.88571428571429,100,4.377142857142857,6.81,13.82,8.84,23.178,4.16,0.9948070461661808,68.5506285958072,0.9695728440047652
Flores,UY-FS,2017-03-27,2017-04-02,2017,13,7,7,100.0,100.0,1,25.680000000000003,26.6,16.554285714285715,15.2,54.31428571428571,46,91.60000000000001,96,6.297142857142857,7.4,0.2,0.2,26.502,4.48,0.9981054878324913,59.38043471459282,0.984044997835319
Flores,UY-FS,2017-04-03,2017-04-09,2017,14,7,7,100.0,100.0,5,25.16857142857143,27.4,16.642857142857142,12.9,55.08571428571429,36,91.28571428571429,99,5.250285714285715,7.46,23.92,21.62,21.822,4.39,0.9839036786968124,105.78881707968814,0.4374924831593632
Flores,UY-FS,2017-04-10,2017-04-16,2017,15,7,7,100.0,100.0,2,20.268571428571427,21.8,11.588571428571429,7.4,57.228571428571435,48,90.51428571428572,99,5.194285714285714,9.93,8.26,8.08,18.582,3.68,0.996652822820791,123.89923260734129,0.3577537309267766
Flores,UY-FS,2017-04-17,2017-04-23,2017,16,7,7,100.0,100.0,3,20.297142857142855,22.0,12.325714285714286,7.3,56.42857142857143,42,91.71428571428571,97,4.833142857142858,6.45,17.060000000000002,11.940000000000001,16.346,2.95,0.9946083268858138,159.56283650850267,0.11433975556134708
Flores,UY-FS,2017-04-24,2017-04-30,2017,17,7,7,100.0,100.0,3,20.374285714285715,23.1,11.120000000000001,8.1,54.028571428571425,42,88.34285714285714,97,6.194285714285714,10.7,16.22,13.3,19.0,3.45,0.9921269230102391,323.5405681308657,0.5709657942014214
Flores,UY-FS,2017-05-01,2017-05-07,2017,18,7,7,100.0,100.0,1,23.18285714285714,24.3,12.508571428571429,8.3,61.05714285714286,44,96.60000000000001,100,3.9717142857142855,6.72,4.96,4.96,15.904,2.88,0.9912099463874473,42.7032885812004,0.9046499417965209
Flores,UY-FS,2017-05-08,2017-05-14,2017,19,7,7,100.0,100.0,4,17.725714285714286,20.1,11.574285714285713,6.2,68.14285714285714,54,93.88571428571429,100,5.271714285714286,7.42,50.58,46.08,9.624,2.09,0.9973839528364271,140.5472980341985,0.7057843175798914
Flores,UY-FS,2017-05-15,2017-05-21,2017,20,7,7,100.0,100.0,3,16.96857142857143,18.9,9.725714285714286,7.3,66.74285714285715,54,95.48571428571428,100,5.6411428571428575,7.66,27.62,16.84,9.472,2.05,0.9528847287501314,339.2578985075802,0.2865425644118155
Flores,UY-FS,2017-05-22,2017-05-28,2017,21,7,7,100.0,100.0,4,16.81142857142857,20.1,10.454285714285716,7.3,71.02857142857142,55,94.45714285714287,100,4.908,6.19,26.94,17.9,8.394,2.04,0.9974072750195024,118.27206384333613,0.3624461144616319
Flores,UY-FS,2017-05-29,2017-06-04,2017,22,7,7,100.0,100.0,2,15.440000000000001,17.5,7.385714285714286,5.1,65.28571428571429,55,97.8,100,3.617142857142857,5.3,0.36,0.22000000000000003,9.004,1.59,0.9891945372607027,168.08463891726618,0.36153125668097746
Flores,UY-FS,2017-06-05,2017-06-11,2017,23,7,7,100.0,100.0,2,14.40857142857143,17.3,5.822857142857143,1.2,58.885714285714286,46,93.91428571428571,99,4.822857142857143,6.93,1.5999999999999999,1.4,10.496,2.28,0.9905206980430371,290.47514830210105,0.3911910515607113
Flores,UY-FS,2017-06-12,2017-06-18,2017,24,7,7,100.0,100.0,2,17.89142857142857,23.8,8.902857142857142,0.6,60.94285714285714,33,90.37142857142858,100,6.210857142857143,10.08,5.239999999999999,5.1,11.862,2.93,0.98692609432369,9.80097049213421,0.6296485683184548
Flores,UY-FS,2017-06-19,2017-06-25,2017,25,7,7,100.0,100.0,1,18.41142857142857,24.3,9.934285714285712,0.7,62.57142857142857,48,89.34285714285714,94,5.792857142857143,7.54,0.3,0.3,12.698,2.41,0.9991509143813568,0.044893370679397276,0.7630478088584156
Flores,UY-FS,2017-06-26,2017-07-02,2017,26,7,7,100.0,100.0,2,16.954285714285714,23.5,9.454285714285714,3.6,61.65714285714285,52,92.14285714285714,100,4.333142857142857,7.19,5.859999999999999,5.779999999999999,10.184,2.42,0.9643249723073932,321.64797856642645,0.21786274017141757
Flores,UY-FS,2017-07-03,2017-07-09,2017,27,7,7,100.0,100.0,5,17.454285714285714,20.0,10.700000000000001,7.5,73.68571428571428,60,95.31428571428572,99,5.878,7.34,64.42,33.12,8.622,2.1,0.9903503838764246,40.53055598661771,0.39347790649764663
Flores,UY-FS,2017-07-10,2017-07-16,2017,28,7,7,100.0,100.0,6,17.822857142857142,24.5,10.805714285714286,4.7,70.25714285714285,56,93.54285714285713,100,6.631714285714286,9.34,22.44,11.08,9.764,2.55,0.9942506690845592,112.54808337496968,0.16470402890078076
Flores,UY-FS,2017-07-17,2017-07-23,2017,29,7,7,100.0,100.0,1,14.31142857142857,21.2,4.422857142857143,0.5,53.857142857142854,41,84.77142857142857,96,5.370571428571429,6.51,0.1,0.1,12.707999999999998,2.27,0.9979982905526317,316.54068289583677,0.6905926567234718
Flores,UY-FS,2017-07-24,2017-07-30,2017,30,7,7,100.0,100.0,5,20.694285714285712,24.4,13.462857142857143,10.1,70.6,57,93.97142857142856,99,6.003428571428572,7.8,16.880000000000003,6.720000000000001,11.672,2.95,0.9993248320120804,59.26529161578379,0.49632240579427067
