coordenada_id,departamento,departamento_iso,latitud,longitud,easting_m,northing_m,distancia_limite_m,metodo_seleccion,margen_interior_m,crs_generacion,separacion_grilla_m,fuente_limite,latitud_reportada,longitud_reportada,departamento_open_meteo,distancia_solicitada_reportada_m,punto_valido
URY_DU_G_E650000_N6350000,Durazno,UY-DU,-32.97807300000001,-55.39476,650000.0,6350000.0,10988.623245367233,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.0,-55.4,Durazno,2480.3185845297194,True
URY_FD_G_E575000_N6225000,Florida,UY-FD,-34.11314599999999,-56.186784,575000.0,6225000.0,19763.688695903387,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.1,-56.199997,Florida,1900.0837153456482,True
URY_FD_G_E575000_N6250000,Florida,UY-FD,-33.887696,-56.18892900000001,575000.0,6250000.0,19922.72400645879,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.899998,-56.199997,Florida,1705.3402097275316,True
URY_FD_G_E575000_N6275000,Florida,UY-FD,-33.66223699999999,-56.19105100000001,575000.0,6275000.0,19485.399816979105,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.7,-56.199997,Florida,4268.486666059473,True
URY_FD_G_E600000_N6225000,Florida,UY-FD,-34.111051999999994,-55.915749,600000.0,6225000.0,17294.500235852007,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.1,-55.9,Florida,1900.690043065017,True
URY_FD_G_E600000_N6250000,Florida,UY-FD,-33.88562000000001,-55.918609,600000.0,6250000.0,39596.041674584456,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.899998,-55.9,Florida,2345.9405016105516,True
URY_FD_G_E600000_N6275000,Florida,UY-FD,-33.660177999999995,-55.921438,600000.0,6275000.0,23619.913777998478,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.7,-55.9,Florida,4842.336970359354,True
URY_FD_G_E625000_N6225000,Florida,UY-FD,-34.108361,-55.644746,625000.0,6225000.0,7577.540363065677,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.1,-55.6,Florida,4230.827670010662,True
URY_FD_G_E625000_N6250000,Florida,UY-FD,-33.882951,-55.648321,625000.0,6250000.0,22762.685663271503,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.899998,-55.6,Florida,4852.316130896844,True
URY_FD_G_E625000_N6275000,Florida,UY-FD,-33.657532,-55.651857,625000.0,6275000.0,27153.19246241896,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.7,-55.699997,Florida,6488.284816671846,True
URY_FD_G_E650000_N6300000,Florida,UY-FD,-33.428898,-55.386509,650000.0,6300000.0,17198.261113422705,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.399998,-55.4,Florida,3441.7982937080465,True
URY_FS_G_E500000_N6250000,Flores,UY-FS,-33.890365,-57.00000000000001,500000.0,6250000.0,9208.188849742606,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.899998,-57.0,Flores,1068.069721320644,True
URY_FS_G_E500000_N6275000,Flores,UY-FS,-33.664883999999994,-57.00000000000001,500000.0,6275000.0,15275.640140330212,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.7,-57.0,Flores,3893.3915710123256,True
URY_FS_G_E500000_N6300000,Flores,UY-FS,-33.43939499999999,-57.00000000000001,500000.0,6300000.0,23223.43235789732,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.399998,-57.0,Flores,4367.85020726081,True
URY_FS_G_E525000_N6275000,Flores,UY-FS,-33.66459,-56.73034,525000.0,6275000.0,21869.53708574588,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.7,-56.699997,Flores,4829.48578097039,True
